11/26/2021,FFTR2021TB,
11/26/2021,FGHD2368TF,4A12921872
11/26/2021,GDF530PGMCC,D572086413
11/26/2021,LDFS545BD,
11/26/2021,MED7230HW,
11/26/2021,MEDC465HW,MX1829188
11/26/2021,MVW7230HW,
11/26/2021,MVWC465HW,CA3200243
11/26/2021,DC5003WE,2110039995
11/26/2021,TC5003WN,2110029237
11/26/2021,WMH31017HZ,
11/27/2021,FFMV1845VSA,5G02702200
11/27/2021,NFUD1750MW,1.02884E+11
11/27/2021,DLEX3600VW,
11/27/2021,WM3600VW,
11/27/2021,DR7000WE,
11/27/2021,TR7003WN,
11/27/2021,WED7000CW,
11/27/2021,WTW7005CW,
11/29/2021,EFLW427OIW,
11/29/2021,FFMV1846,
11/29/2021,FFMV1845,
11/29/2021,FFEF3016TS,
11/29/2021,FFFU16F2VW,
11/29/2021,EFME427VIW,
11/29/2021,WDT750,
11/29/2021,WRS588FIHW04,HRA28065766
11/30/2021,MET8800F2,
11/30/2021,DR700DWE,2102008820
Date,Model Number,Serial Number
6/28/2021,VAW3584GW,CX3601577
6/17/2021,VAW3584GW,
6/7/2021,FLCE7522AW,4E11705561
6/19/2021,FFHT1824UW,KA04600041
6/21/2021,DR5000WE,2102037155
6/21/2021,TR5003WN,2105034019
4/24/2021,DR5003WE,2104031242
4/24/2021,FG4H2272UF,
4/24/2021,TR5003WN,2105034240
6/24/2021,GNE25JGKNFWW,
6/29/2021,WDT750SSAKV,
6/25/2021,RFS26ABW,KE199E13110081
??,PB935YPFS,GS017157
6/7/2021,FFFU20F1UW,KA107020(81)(79)
6/29/2021,AHY14LZ,VR00811
6/24/2021,FFHT1824UW,KA02701604
6/21/2021,,
6/26/2021,DR5003WE,
6/26/2021,TR5003WN,
6/3/2021,MDB4949SKB,FA1601414
6/18/2021,MDB4949,
6/11/2021,CAW38125HW,CX3200307
,FFSS2615TE4,4A11101183
??,FGID24795D,KH10222215
6/30/2021,FFFU20,
,FFHT1824UW,KA02700226
6/21/2021,FFTR1824,
6/21/2021,,
6/24/2021,AHY14LZ,
6/24/2021,AHY14LZ,
,JB258DMWW,TR078556Q
6/24/2021,DR7000,
6/24/2021,TR7000,
,FFFU20F1UW,KA10702106
5/5/2021,DR7003WE,2102008786
5/5/2021,TR7003WN,2011042319
6/3/2021,WRF555SDHB,
6/29/2021,DR5003WE,2104031150
6/29/2021,TR5003WN,2105034020
6/30/2021,TC5003WN,2104029611
,LMXS286265,102KRJU0V780
6/29/2021,,
6/5/2021,CRH12SW,2H0063001142
6/18/2021,DR5003WN,2104031248
6/18/2021,TR5003WN,2105034200
,DR5000WE,2102037173
,GNE27JYMFS,DS329293
,TR5003WN,2105034011
6/24/2021,FFU20,
6/28/2021,FFFU20F1,KA10800890
6/29/2021,FFFU13F2VW,8A03731656
6/1/2021,FFFU13F2VW,8A03653550
6/8/2021,MVWC565FW,CX4602344
6/21/2021,DLEX3600HVA,
6/21/2021,WM3600HVA,
6/7/2021,TR5003WN,2105034013
6/12/2021,DR3000WE,2104024580
6/12/2021,TR3003WN,2105038539
,CRH12SW,50007089535
6/16/2021,JVM71955KSS,
6/14/2021,PGB935YPFS,
6/11/2021,MDB4949SKW,FA1901222
6/7/2021,WDF540,
6/30/2021,,
6/30/2021,FFFC15,
6/21/2021,VAW3584GW,CX3601542
6/16/2021,FFFU20F2UW,KA10702128
6/19/2021,JVX5360DJBB,
6/3/2021,DLE3500,
6/3/2021,WM3500,
6/16/2021,FFTR2021BB,4A10503529
6/8/2021,FRS26ABT,KE99E1300017
6/16/2021,FFEF3054,
6/26/2021,DR5003WE,2104031240
6/26/2021,TR5003WN,2105019285
,DC5003WE,2103064690
,TC5003WN,2105037842
6/30/2021,CRD2113,
6/16/2021,FFGF3054TB,
6/1/2021,TR7003WN,2011042285
6/30/2021,ABB1400,
6/30/2021,JVM3162RJSS,HS200669L
6/30/2021,PB965YPFS,SS035111Q
6/9/2021,KMC3022GSS,
6/24/2021,TR5003WN,2105019256
6/26/2021,FFSS2615TP,
6/28/2021,CRD1812NW,1D10519101463
6/28/2021,DR5003WE,2104031240
6/28/2021,JB258DM2WW,GS040700Q
6/28/2021,JES1657DM1WW,SR206646A
6/28/2021,TR5003WN,2105019285
6/28/2021,,
6/14/2021,,
6/16/2021,TC5003WN,2105037876
6/4/2021,TR7003WN,2011042318
6/7/2021,WWH31017,
6/1/2021,TR3007WN,2010051224
6/4/2021,TC5003WN,2105037860
6/3/2021,FFTR2021TWS,
6/11/2021,DR5003WE,2104031247
6/11/2021,TR3003WN,2101052553
6/7/2021,DR5003WE,2104031239
6/22/2021,FFFS2315,
6/9/2021,GTD42GASJ2WW,TG845818C
,FFEF3054TD,VF11190230
6/11/2021,NFUD2150MW,12884200088
1/8/2021,SDGNCRE S116TW,2105007640
6/24/2021,FFFU20F1UW,KA107022099
,FFFC15M4TW,AA03741229
6/9/2021,,
6/25/2021,WDF540PADM,FA0237155
6/3/2021,VED650SGW,
6/3/2021,TC5003WN,2105037869
6/14/2021,WTW7120HW0,CA0201215
6/22/2021,CRH12SW,
6/22/2021,FFSS2315TE,
6/22/2021,FFSS2315TE,
6/22/2021,JES1657DMBB,
6/22/2021,CAW38125HW0,CX3200270
6/24/2021,VAW3584GW,RX4117461
6/24/2021,VED6505GW0,
6/24/2021,WFE515SOJW0,
??,FDSH4501AS,KH04224897
6/11/2021,FFMV18U5VS,
6/11/2021,,
,LFXS26596S,012TRXJ2Y00Z
6/17/2021,LMXS28626S,011KRMK1N475
6/1/2021,VAW38125H,
6/28/2021,AHY14LZWI,VR007816A
6/2/2021,JVM3160DFBB,AS200493
6/14/2021,JVM3162DJBB,AS200561L
6/8/2021,FFTR2021TW,4A10503528
,WDF540,
6/14/2021,,
6/12/2021,TC5003WN,2103006738
6/16/2021,FFTR1821,
,KDTE204KPS,FA0701041
4/14/2021,PB695YPFS,HS076311 || MS1025327503
6/19/2021,DR5003WN,2104031238
6/19/2021,TR5003WN,2105034241
6/25/2021,FDPC4221AW0A,
6/15/2021,FFFU16F2UW,8A04831892
3/16/2021,JB258DMCC,FS116724
??,LDT5670BD,010KWKS2S573
6/4/2021,DR7000WE,2102008788
6/21/2021,FFFU20F1,
6/24/2021,WMH31017HW,TRA0923353
6/30/2021,FFTR18,KA02700237
6/5/2021,VAW3584GW,CX3601584
6/19/2021,NFUD2150MW,1288420063
6/14/2021,FFCS0522AW,AA03301768
6/7/2021,FFRE1001PW,4DS211326
6/7/2021,FFTW1001PW,7C43052955
6/4/2021,DR5000WE,2103035977
6/4/2021,TR5003WN,2105034231
6/5/2021,WTE21GBW,
6/7/2021,WKEX200HWA,
6/3/2021,WTE18HSWCD,MR20ZE17680047
6/9/2021,TR7003,2011042355
6/2/2021,LMXS282665,
6/2/2021,WED5620,
6/2/2021,WFW5620,
??,LMXS28626S,011KRNM1N479
??,WFW5620HW,CA0601808
??,WTW5005KW,CX5103393
??,XHP1000XW,C92550097
??,XHP1000XW,C92550098
6/8/2021,TR5000WV,2105034236
6/11/2021,WMH31017HZ,TRX5077494
,WMH31017HB,
Date,Model Number,Serial Number
10/15/2021,WTW5005KW,
10/11/2021,WRS588FIHB,
10/11/2021,WRS555SIHZ,
10/20/2021,WDF540PADM,
10/26/2021,WDT750SAKZ,FA3502420
10/15/2021,WED5000DW,
10/12/2021,WDF540PADW,FA3525324
10/6/2021,W5CE3024XB,D74601532
10/15/2021,WCE77US0HB,
10/25/2021,WTW5005KW0,
10/1/2021,,
10/25/2021,WET4027HW,MA4045071
10/25/2021,WED5000DW,
10/2/2021,WDT7300PAHW,FX4315086
10/5/2021,WDT730PAHW,FX4315106
10/5/2021,WDT750SAKW,FA2801217
10/30/2021,WTW700CW,104TWMK1X523
10/25/2021,TR7003WN,2109021650
10/18/2021,SF7005,
10/1/2021,TC5003WE,2109006501
10/13/2021,TC5003WN,
10/8/2021,TR3000,
10/13/2021,TR3003,
10/16/2021,TR3003WN,2105038506
10/6/2021,TR5003,
10/13/2021,TR5003WN,2109032756
10/8/2021,TR7003WN,
10/13/2021,TR7003WN,
10/13/2021,TR7003WN,
10/18/2021,SF7000,
10/13/2021,DC5000WE,
10/13/2021,DF7000WE,
10/8/2021,DR3000,
10/13/2021,DR3003,
10/1/2021,DR3003WE,2104024569
9/24/2021,TC5003WN,2109006504
9/24/2021,DC5003WE,2107008734
10/26/2021,TC5003WN,
10/20/2021,TR3003WN,2101052536
10/30/2021,TR3003WN,2105038486
10/26/2021,DC5000WE,
10/20/2021,DR3000WE,2103012063
10/19/2021,TC5003WN,
10/19/2021,TC5003WN,
10/20/2021,TC5003WN,
10/25/2021,RE27T522005R,
10/1/2021,JB258DMWW,MS137030Q
10/26/2021,WML35011KS,
10/11/2021,MVWC465HW,CA2200935
10/29/2021,MVWC465HW,CA3200248
10/11/2021,MED4650HW,MA3161232
10/20/2021,MEDC465HW,
10/7/2021,WKE100,
10/6/2021,WM3600,
10/28/2021,WM3600HVA,
10/26/2021,WM3600HWA,101TNUW18502
10/28/2021,WT7005C,111TWHX1B777
10/30/2021,WT7300CW,
10/19/2021,WT7305CW,
10/8/2021,ITVS242235,107MRJF0N188
10/21/2021,LMW527626,
10/1/2021,LRMXS2806,
10/15/2021,LTCS20020W,
10/28/2021,DLE3600V,
10/19/2021,DLE7300VW,
10/30/2021,DLE7300WE,108KWBY74349
10/30/2021,DLE7300WE,106KWUC6C854
10/6/2021,DLEX3600,
10/26/2021,DLEX3600,RV13D4AMH
10/21/2021,LDFN45425,
10/19/2021,KOCE507EBS,
10/19/2021,KRMF706EBS,
10/7/2021,KRFU021AWD0,
10/11/2021,KRFU021AWD0,
10/27/2021,KRUF021AWD,MR219E35720095
10/19/2021,KRUF021AWP,
10/28/2021,KRUF021AWP,
10/9/2021,KRFU018AWD,MR217E43860060
10/9/2021,KRFU021AWD0,MR216E32540267
10/2/2021,KRFU18AWD,
10/20/2021,NFUD2150MW,12884200002
10/29/2021,NFUD2150MW,
10/28/2021,NFUD1750MW,1.02884E+11
10/13/2021,NFUD2150MW,12884200112
10/29/2021,HTW240ASK5WS,VR988828G
10/29/2021,HTX24EASK0WS,VR872460C
10/2/2021,HTW240ASKWS,VR988856G
10/2/2021,HTX24EASKWS,VR872435C
10/6/2021,GTS18HGNRBB,MS782702
10/6/2021,GTS18HGNRBB,MS782677
10/6/2021,GTS18HGNRBB,MS782680
10/6/2021,GTS18HGNRBB,MS782701
10/6/2021,GTS18HGNRBB,MS782689
10/6/2021,GTS18HGNRBB,MS750452
10/6/2021,GTS18HGNRBB,MS782662
10/9/2021,JB258DMWW,MS125063Q
10/2/2021,JB735DP1WW,
10/30/2021,JB735DPWW,D5001770Q
10/6/2021,JBS160DMBB,
10/6/2021,JBS160DMBB,
10/6/2021,JBS160DMBB,
10/6/2021,JBS160DMBB,
10/6/2021,JBS160DMBB,
10/6/2021,JBS160DMBB,
10/6/2021,JBS160DMBB,
10/6/2021,JVM3162D5BB,
10/6/2021,JVM3162D5BB,
10/6/2021,JVM3162D5BB,
10/6/2021,JVM3162D5BB,
10/6/2021,JVM3162D5BB,
10/6/2021,JVM3162D5BB,
10/6/2021,JVM3162D5BB,
10/18/2021,JES1657,
10/6/2021,GSD2100VBB,
10/6/2021,GSD2100VBB,
10/6/2021,GSD2100VBB,
10/6/2021,GSD2100VBB,
10/6/2021,GSD2100VBB,
10/6/2021,GSD2100VBB,
10/6/2021,GSD2100VBB,
10/15/2021,FFSS2315TP,
10/19/2021,FFFS2615TB,
10/28/2021,,
10/12/2021,FFEF3016C,
10/12/2021,FFFEF3054TD,
10/11/2021,FFFC09M1RW,
10/15/2021,FFFC15METW,AA03642125
10/27/2021,FFCL1542AW,AA12540187
10/29/2021,,
10/18/2021,FFMV1846VW,KG10817152
10/16/2021,FRSS2623AS0,
10/16/2021,FLCE7522AW,4E11600106
10/26/2021,,
10/5/2021,FFHB2750TS,
10/8/2021,FFTR2021TB,4410121865
10/2/2021,FFEF3016LW,VF11609983
10/1/2021,FFC0722AW,AA11213789
10/1/2021,FFFC15M4TW,
10/11/2021,FFFU13FZVW,8A03731621
10/5/2021,FDSH4501AS38,KH12021192
10/9/2021,FFCS0922AW,8A03446893
10/14/2021,,
10/15/2021,FFCS0922AW,
10/9/2021,FFHV1846V,KG10817154
10/15/2021,EFLW427VIW,
10/25/2021,KRFU21,
10/3/2021,,RFS26DTJE
10/5/2021,,
10/26/2021,RFS26ABB,
10/29/2021,CAW38125HW,CX3900692
,CRD1812NB,1D10519102984
10/15/2021,,
10/19/2021,CAW38125HW,CX3900489
10/7/2021,VAW3584GW,CA2600867
10/25/2021,VAW3584GW,
10/18/2021,VAW3584GW1,
10/21/2021,VFUD15TW,1D10731100172
10/7/2021,VED6505GW,MA0414870
10/12/2021,VED6505GW,MA0414874
10/30/2021,ADB1400AGW,
10/13/2021,ABB1400,
10/28/2021,ABB1400,
10/26/2021,ADB1400AGW,FA1984039
Date,Model Number,Description,Serial Number
8/31/2021,WTW5005KW,WHRL,
8/24/2021,WDT750SAKZ,WHIRPOOL DW,FA3102699
8/18/2021,WTW5005KW,WHIRLPOOL WASHER,
8/27/2021,WTW5005SKW,WHIRLPOOL WASHER,CX5103042
8/18/2021,WED5000DW,WHIRLPOOL DRYER,
8/27/2021,WED5000DW,WHIRLPOOL DRYER,MX306768
8/14/2021,WTW5005KW,WHIRL WASH,CA2301010
8/14/2021,WED5000PW,WHIRL DRY,MA1522320
8/13/2021,WDF540APW,WHIRL DISH,
8/31/2021,WED5000DW,WHIRL,
8/2/2021,,USED FRIGI GLASS TOP RANGE,
8/23/2021,FFSS2615TSS,STAINLESS,4A11606551 // ? 4A02103165
8/31/2021,WDF520PADM,STAINLESS,FX4748967
8/13/2021,TR7003WN,SQ WASH,
8/25/2021,7000,SQ WASH,2010051208
8/16/2021,TR7003WN,SQ WASH,2109033080
8/18/2021,TC5003WN,SQ WASH,2105037877
8/13/2021,DR7003WE,SQ DRY,
8/23/2021,DC5003WE,SQ DRY,2107008713
8/19/2021,DR7000WE,SQ DRY,2102008829
8/16/2021,DR7000WE,SQ DRY,2102008821
8/18/2021,DC5003WN,SQ DRY,2105037877
8/26/2021,DR3000WE,SQ DRY,
8/27/2021,5003,SQ DR,
8/25/2021,TR7003WN,SQ  WASHER,2107029121
8/31/2021,TR7003WE,SPEED QUEEN WASHER,2108035785
8/30/2021,TC5003WN,SPEED QUEEN CLASSIC WASHER,2108069136
8/30/2021,DC5000WE,SPEED QUEEN CLASSIC DRYER,
8/7/2021,TC5003WN,SPD QN WASH,2104029608
8/5/2021,TR3000WN,SPD QN WASH,2105038504
8/2/2021,TR5003WN,SPD QN WASH,
8/5/2021,TC5003WN,SPD QN WASH,
8/18/2021,TC5003WN,SPD QN WASH,2104029699
8/5/2021,TC5003WN,SPD QN WASH,2105037857
8/12/2021,DR3003WE,SPD QN DRYER,2104024565
8/7/2021,DC5003WE,SPD QN DRY,2107008733
8/7/2021,DR5000WE,SPD QN DRY,2102037154
8/5/2021,DC5003WE,SPD QN DRY,
8/18/2021,DC5003WE,SPD QN DRY,2107008738
8/11/2021,DR5003WE,SPD QN DRY,2104031151
8/5/2021,DC5003WE,SPD QN DRY,2107008718
8/23/2021,,SAMSUNG RANGE,
8/30/2021,FGHB2868TFZ,REFER,4A12824342
8/27/2021,5003,QS WASH,2103055216
8/27/2021,RM443655,MINI REFER,2700112189
8/30/2021,MVW7232HW,MAYTAG WASHER,CA2905227
8/12/2021,MDB4949SKW,MAYTAG DW,FA1901219
8/23/2021,MGDB835DW4,MAYTAG GAS DRY,M84628238
8/10/2021,WT7005CW,LG WASH,101TWRE01542
8/14/2021,WM3600HVA,LG WASH,
8/9/2021,WT7005CW,LG WASH,104TWKS0H853
8/11/2021,WT7005GW,LG WASH,
8/16/2021,LTC520020W,LG REFER,012MRKUOC653
8/14/2021,FLXS26973,LG REFER,
8/25/2021,LTCS20020W,LG REFER,OLIT2222AASWCNAO
8/23/2021,LMV1762ST,LG OTR,
8/10/2021,DLE7000W,LG DRY,103KWSBC3966
8/14/2021,DLE33600V,LG DRY,
8/9/2021,DLE7000W,LG DRY,103KWJUC3956
8/11/2021,DLE7000W,LG DRY,
8/3/2021,KDTE204KPS,KITCH DISH,FA0701041
8/31/2021,KRFU021AWD0,KENMORE FREEZER,MR216E32560043
8/19/2021,KRFU021AWDO,KEN FRZR,
8/3/2021,KRFU021AWD0,KEN FRZR,MR216E32500276
8/25/2021,KRFU021AWD0,KEN FRZR,MR216E32540048
8/5/2021,KRFU021AWDO,KEN FRZR,MR216E32590069
8/5/2021,KRFU021AWDO,KEN FRZR,MR216E32580290
8/23/2021,KRFU021AWDO,KEN 21 FRZR,MR216E32590144
8/12/2021,NRTD1850NW,INFIGRO,11883700108
8/5/2021,NRTD1850MW,INFIGO REFER,11883700133
8/28/2021,NFUD1750MW,INFIGO FREEZER,1.02884E+11
8/30/2021,NRTD1850MW,INFI REFER,11883700029
8/26/2021,NRTD1850MW,INFI REFER,
8/19/2021,NFUD2150MW,INFI REFER,12884200111
8/13/2021,NFUD2150DW,INFI FRZR,12884200068
8/18/2021,NFUD1750MW,INFI FRZR,1.02884E+11
8/6/2021,HTW240ASKWS,HOT WASH,VR988852G
8/12/2021,HTW240ASK5WS,HOT WASH,VR939467G
8/24/2021,RAS200DMWW,HOT RANGE,ZL910391R
8/19/2021,GTW335ASNWW,GE WASH,
8/26/2021,GTS18,GE REFER,
8/16/2021,GTS18,GE REFER,
8/27/2021,JB258DM2WW,GE RANGE,MS125470Q
8/26/2021,JB258DMWW,GE RANGE,MS12547ZQ
8/26/2021,JB258DMWW,GE RANGE,MS125469Q
8/26/2021,JB258DMWW,GE RANGE,MS125449Q
8/19/2021,NFUD2150MW,FRZR,12884200003
8/25/2021,FFC25M4TW,FRIGIDAIRE CHEST FREEZER,AH10860909
8/2/2021,FFFU13F2VW,FRIGI UP FRZR,8A0916423
8/21/2021,FFSS2615TSS,FRIGI SXS REFER,4A02812994
8/13/2021,FFSS2316BB,FRIGI SXS,
8/6/2021,GRSC2352AF,FRIGI STAINLESS SXS,
8/18/2021,,FRIGI REFER DAMAGED,
8/2/2021,FFFSS2615TE4,FRIGI REFER BLACK,4A03400764
8/23/2021,FG4H2272UF,FRIGI REFER,
8/9/2021,FFHT1824UW,FRIGI REFER,KA0270006
8/19/2021,FFEF3054TS,FRIGI RANGE BLACK,VF04505637
8/23/2021,FFEF3016VW,FRIGI RANGE,VF11892417
8/11/2021,FFFU20F2VW,FRIGI FRZR,
8/20/2021,FFFU13F2VW,FRIGI FRZR,8A04796928
8/19/2021,FDSH4501A539,FRIGI DISH,11022168
8/28/2021,FFC09WW,FRIGI CHEST,
8/28/2021,FFCS0922AW,FRIGI CHEST,8A03446894
8/10/2021,FFC50922AW,FRIGI C FRZR,
8/11/2021,FFCS0622AW,FRIGI C FRZR,8A03443730
8/19/2021,FFSS26TSTS,FRIGI,4A11011242
8/6/2021,RFS26,DAEWOO REFER,
8/20/2021,RFS26ABB,DAEWOO REFER,
8/13/2021,CAW42114G,CROSLEY WASH,
8/10/2021,YTW4514SNWS,CROSLEY TOP LOAD WASH,GS185968G
8/10/2021,YTD74E2SNWS,CROSLEY TOP LOAD DRY,FS854960C
8/6/2021,CRD1812WW,CROSLEY REFER,1D10519101444
8/4/2021,,CROSLEY DRYER,
8/28/2021,VED6505W,CONSERV DRY,MA0208885
8/28/2021,VED6505W,CONSERV DRY,
8/27/2021,JB258DMBB,BLACK COIL RANGE,
8/24/2021,ADB1400AGB,BLACK,FX3800179
8/24/2021,VF58B0W,AVA FRZR,A577702580020131200026
8/18/2021,,AVA 4.4 REFER,
8/28/2021,AZC31T15,AMANA FRZR,
8/31/2021,ADB1400AGW,AMANA DISH,FA2807416
8/13/2021,,18 CU FT TOP MOUNT BLACK,
8/2/2021,NRTD1850MW,18 CF WHITE PREFER,11883700159
8/16/2021,DLE7000,,106KWHX6D369
8/16/2021,WT7005CW,,104TWATOH520
8/18/2021,FFSS2615TP,,4A10516527
8/4/2021,LMXS286265,,012KRZH3K765
8/13/2021,WDF540PAPM,,
8/30/2021,DR5003,,
8/30/2021,TR5003,,
8/14/2021,,,
8/11/2021,FFGF3054,,
8/11/2021,WDF815SAHM,,
8/18/2021,FFEF3016VB,,VF12756395
8/18/2021,FFMV1845,,KG04405424
8/18/2021,FFSS2615TE,,4A03621713
8/5/2021,MDB4949,,
8/9/2021,DLEX7800WE,,
8/9/2021,WT7800CW,,
8/3/2021,DLE3600V,,
8/3/2021,WM3600HVE,,
8/5/2021,FFFU16MTW,,
8/31/2021,WDT730PAHW,,
8/31/2021,WFR5555DHW,,
8/31/2021,WMH31017HW,,
8/4/2021,FFFU13F2VW,,8A03731923
8/18/2021,WED5000DW,,MX0306753
8/18/2021,WTW5005KW,,CA2301011
8/2/2021,VAW3584GW,,CA2600898
8/2/2021,VED6505GW,,MA0208929
8/18/2021,WED5620HW,,
8/18/2021,WFW5620HW,,
8/19/2021,FGHB2868JD,,4A11805066
8/12/2021,JES1657DMWV,,
8/24/2021,FFMV1846VW,,KG10424276
8/10/2021,CRD1812NW,,11883700126
8/10/2021,CRD1812NW,,1D01148101273
8/10/2021,CRD1812NW,,1D10519101446
8/4/2021,KDTE204KPS,,
8/4/2021,MFI2570FEZ,,
8/23/2021,FDSH4501A,,
8/30/2021,FFGF3054TSS,,
Date,Model Number,Serial Number
7/13/2021,WDF540PADB,FX5001062
7/13/2021,WFE515SOJB,
7/13/2021,WMH31017HB,TRX2650317
7/17/2021,VAW3589,CA2600895
7/21/2021,FFEF3016VW,VF11609719
7/6/2021,FFFU20F1UW,KA10903131
7/7/2021,GSE26GGKCC,
7/7/2021,GTS18,
7/10/2021,AHY14LZ,VR006846A
,FFSS2615TS,4A0280559
7/7/2021,FFFC20,
7/6/2021,FFFC20M4TW,
7/22/2021,WTE21GBW,
7/27/2021,,
07-28-22021,WDT750SAKW,FA2801235
7/6/2021,CRD1812NW,1D10519101462
7/24/2021,FFEF305415,
7/24/2021,FFSS2615TS,
7/10/2021,FFFU20F1UW,KA11102268
7/26/2021,FFHT1824U,
7/26/2021,FFHT1824U,
7/13/2021,MED7230HW,
7/13/2021,MVW7232HW,
7/26/2021,,
7/26/2021,,
7/9/2021,DR5003WE,
7/9/2021,TR5003WN,2105034003
7/20/2021,TC5003WN,2104029610
